MRGID,GEONAME,TERRITORY1,ISO_TER1,SOVEREIGN1,TERRITORY2,ISO_TER2,SOVEREIGN2,MRGID_TER3,MRGID_SOV3,TERRITORY3,ISO_TER3,SOVEREIGN3,SIS_name0,SIS_name1,To_split
8392,Togolese Exclusive Economic Zone,Togo,TGO,Togo,NA,NA,NA,0,0,NA,NA,NA,Togo,,
8449,Tokelau Exclusive Economic Zone,Tokelau,TKL,New Zealand,NA,NA,NA,0,0,NA,NA,NA,Tokelau,,
8448,Tongan Exclusive Economic Zone,Tonga,TON,Tonga,NA,NA,NA,0,0,NA,NA,NA,Tonga,,
8420,Trinidad and Tobago Exclusive Economic Zone,Trinidad and Tobago,TTO,Trinidad and Tobago,NA,NA,NA,0,0,NA,NA,NA,Trinidad and Tobago,,
8366,Tunisian Exclusive Economic Zone,Tunisia,TUN,Tunisia,NA,NA,NA,0,0,NA,NA,NA,Tunisia,,
5697,Turkish Exclusive Economic Zone,Turkey,TUR,Turkey,NA,NA,NA,0,0,NA,NA,NA,T�rkiye,,
26523,Turkmen Exclusive Economic Zone,Turkmenistan,TKM,Turkmenistan,NA,NA,NA,0,0,NA,NA,NA,Turkmenistan,,
8405,Turks and Caicos Exclusive Economic Zone,Turks and Caicos Islands,TCA,United Kingdom,NA,NA,NA,0,0,NA,NA,NA,Turks and Caicos Islands,,
8326,Tuvaluan Exclusive Economic Zone,Tuvalu,TUV,Tuvalu,NA,NA,NA,0,0,NA,NA,NA,Tuvalu,,
5695,Overlapping claim Ukrainian Exclusive Economic Zone,Ukraine,UKR,Ukraine,NA,NA,NA,0,0,NA,NA,NA,Ukraine,,
8360,United Arab Emirates Exclusive Economic Zone,United Arab Emirates,ARE,United Arab Emirates,NA,NA,NA,0,0,NA,NA,NA,United Arab Emirates,,
48947,Overlapping claim: Iran / United Arab Emirates,United Arab Emirates,ARE,United Arab Emirates,Iran,IRN,Iran,0,0,NA,NA,NA,United Arab Emirates,,
5696,United Kingdom Exclusive Economic Zone,United Kingdom,GBR,United Kingdom,NA,NA,NA,0,0,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,,
8451,Howland and Baker Islands Exclusive Economic Zone,Howland and Baker islands,UMI,United States,NA,NA,NA,0,0,NA,NA,NA,United States Minor Outlying Islands,Howland-Baker Is.,
8452,Johnston Atoll Exclusive Economic Zone,Johnston Atoll,UMI,United States,NA,NA,NA,0,0,NA,NA,NA,United States Minor Outlying Islands,Johnston I.,
8319,Wake Island Exclusive Economic Zone,Wake Island,UMI,United States,NA,NA,NA,0,0,NA,NA,NA,United States Minor Outlying Islands,Wake Is.,
8463,United States Exclusive Economic Zone (Alaska),Alaska,NA,United States,NA,NA,NA,0,0,NA,NA,NA,United States of America,Alaska,?
8453,United States Exclusive Economic Zone (Hawaii),Hawaii,NA,United States,NA,NA,NA,0,0,NA,NA,NA,United States of America,Hawaiian Is.,
8456,United States Exclusive Economic Zone,United States,USA,United States,NA,NA,NA,0,0,NA,NA,NA,United States of America,,
48961,Joint regime area Argentina / Uruguay,Uruguay,URY,Uruguay,Argentina,ARG,Argentina,0,0,NA,NA,NA,Uruguay,,
8467,Uruguayan Exclusive Economic Zone,Uruguay,URY,Uruguay,NA,NA,NA,0,0,NA,NA,NA,Uruguay,,
8313,Vanuatu Exclusive Economic Zone,Vanuatu,VUT,Vanuatu,NA,NA,NA,0,0,NA,NA,NA,Vanuatu,,
8433,Venezuelan Exclusive Economic Zone,Venezuela,VEN,Venezuela,NA,NA,NA,0,0,NA,NA,NA,"Venezuela, Bolivarian Republic of",,
8484,Vietnamese Exclusive Economic Zone,Vietnam,VNM,Vietnam,NA,NA,NA,0,0,NA,NA,NA,Viet Nam,,
8411,British Virgin Islands Exclusive Economic Zone,British Virgin Islands,VGB,United Kingdom,NA,NA,NA,0,0,NA,NA,NA,"Virgin Islands, British",,
33180,Virgin Islander Exclusive Economic Zone,United States Virgin Islands,VIR,United States,NA,NA,NA,0,0,NA,NA,NA,"Virgin Islands, U.S.",,
8454,Wallis and Futuna Exclusive Economic Zone,Wallis and Futuna,WLF,France,NA,NA,NA,0,0,NA,NA,NA,Wallis and Futuna,,
8368,Overlapping claim Western Saharan Exclusive Economic Zone,Western Sahara,ESH,Western Sahara,Western Sahara,ESH,Morocco,0,0,NA,NA,NA,Western Sahara,,
8353,Yemeni Exclusive Economic Zone,Yemen,YEM,Yemen,NA,NA,NA,0,0,NA,NA,NA,Yemen,,
