MRGID,GEONAME,TERRITORY1,ISO_TER1,SOVEREIGN1,TERRITORY2,ISO_TER2,SOVEREIGN2,MRGID_TER3,MRGID_SOV3,TERRITORY3,ISO_TER3,SOVEREIGN3,SIS_name0,SIS_name1,To_split
8427,Honduran Exclusive Economic Zone,Honduras,HND,Honduras,NA,NA,NA,0,0,NA,NA,NA,Honduras,,
5680,Icelandic Exclusive Economic Zone,Iceland,ISL,Iceland,NA,NA,NA,0,0,NA,NA,NA,Iceland,,
48975,Joint regime area Iceland / Norway (Jan Mayen),Iceland,ISL,Iceland,Jan Mayen,SJM,Norway,0,0,NA,NA,NA,Iceland,,
8333,Indian Exclusive Economic Zone (Andaman and Nicobar Islands),Andaman and Nicobar,NA,India,NA,NA,NA,0,0,NA,NA,NA,India,Nicobar Is.,1
8480,Indian Exclusive Economic Zone,India,IND,India,NA,NA,NA,0,0,NA,NA,NA,India,,
8492,Indonesian Exclusive Economic Zone,Indonesia,IDN,Indonesia,NA,NA,NA,0,0,NA,NA,NA,Indonesia,,
8469,Iranian Exclusive Economic Zone,Iran,IRN,Iran,NA,NA,NA,0,0,NA,NA,NA,"Iran, Islamic Republic of",,
8470,Iraqi Exclusive Economic Zone,Iraq,IRQ,Iraq,NA,NA,NA,0,0,NA,NA,NA,Iraq,,
5681,Irish Exclusive Economic Zone,Ireland,IRL,Ireland,NA,NA,NA,0,0,NA,NA,NA,Ireland,,
8375,Israeli Exclusive Economic Zone,Israel,ISR,Israel,NA,NA,NA,0,0,NA,NA,NA,Israel,,
5682,Italian Exclusive Economic Zone,Italy,ITA,Italy,NA,NA,NA,0,0,NA,NA,NA,Italy,,
8459,Jamaican Exclusive Economic Zone,Jamaica,JAM,Jamaica,NA,NA,NA,0,0,NA,NA,NA,Jamaica,,
21792,Joint regime area Colombia / Jamaica,Jamaica,JAM,Jamaica,Colombia,COL,Colombia,0,0,NA,NA,NA,Jamaica,,
8487,Japanese Exclusive Economic Zone,Japan,JPN,Japan,NA,NA,NA,0,0,NA,NA,NA,Japan,,
21789,Jersey Exclusive Economic Zone,Jersey,JEY,United Kingdom,NA,NA,NA,0,0,NA,NA,NA,Jersey,,
8491,Jordanian Exclusive Economic Zone,Jordan,JOR,Jordan,NA,NA,NA,0,0,NA,NA,NA,Jordan,,
26522,Kazakh Exclusive Economic Zone,Kazakhstan,KAZ,Kazakhstan,NA,NA,NA,0,0,NA,NA,NA,Kazakhstan,,
8349,Kenyan Exclusive Economic Zone,Kenya,KEN,Kenya,NA,NA,NA,0,0,NA,NA,NA,Kenya,,
33176,Overlapping claim: Kenya / Somalia,Kenya,KEN,Kenya,Federal Republic of Somalia,SOM,Federal Republic of Somalia,0,0,NA,NA,NA,Kenya,,
8488,Kiribati Exclusive Economic Zone (Gilbert Islands),Gilbert Islands,KIR,Kiribati,NA,NA,NA,0,0,NA,NA,NA,Kiribati,Gilbert Is.,
8441,Kiribati Exclusive Economic Zone (Line Islands),Line Group,KIR,Kiribati,NA,NA,NA,0,0,NA,NA,NA,Kiribati,Kiribati Line Is.,
8450,Kiribati Exclusive Economic Zone (Phoenix Islands),Phoenix Group,KIR,Kiribati,NA,NA,NA,0,0,NA,NA,NA,Kiribati,Phoenix Is.,
8328,North Korean Exclusive Economic Zone,North Korea,PRK,North Korea,NA,NA,NA,0,0,NA,NA,NA,"Korea, Democratic People's Republic of",,
8327,South Korean Exclusive Economic Zone,South Korea,KOR,South Korea,NA,NA,NA,0,0,NA,NA,NA,"Korea, Republic of",,
8357,Kuwaiti Exclusive Economic Zone,Kuwait,KWT,Kuwait,NA,NA,NA,0,0,NA,NA,NA,Kuwait,,
5683,Latvian Exclusive Economic Zone,Latvia,LVA,Latvia,NA,NA,NA,0,0,NA,NA,NA,Latvia,,
8374,Lebanese Exclusive Economic Zone,Lebanon,LBN,Lebanon,NA,NA,NA,0,0,NA,NA,NA,Lebanon,,
8391,Liberian Exclusive Economic Zone,Liberia,LBR,Liberia,NA,NA,NA,0,0,NA,NA,NA,Liberia,,
8372,Libyan Exclusive Economic Zone,Libya,LBY,Libya,NA,NA,NA,0,0,NA,NA,NA,Libya,,
5684,Lithuanian Exclusive Economic Zone,Lithuania,LTU,Lithuania,NA,NA,NA,0,0,NA,NA,NA,Lithuania,,
8348,Madagascan Exclusive Economic Zone,Madagascar,MDG,Madagascar,NA,NA,NA,0,0,NA,NA,NA,Madagascar,,
